column,coef,abs_coef,selected
영업이익률변화,0.3478285788092118,0.3478285788092118,1
영업CF_유동부채_diff,-0.2268547620795325,0.2268547620795325,1
금융부채비율_ratio,-0.19131203103499383,0.19131203103499383,1
금융비용부담률,0.1767991396551378,0.1767991396551378,1
비유동장기적합률_ratio_industry,0.1616472586603107,0.1616472586603107,1
장기부채비율,0.15689078130733772,0.15689078130733772,1
총자본영업이익률,-0.14993529858753102,0.14993529858753102,1
현금ROA_diff,0.1392350188186295,0.1392350188186295,1
ROE,-0.1361847431095573,0.1361847431095573,1
ROIC,-0.12075552560159131,0.12075552560159131,1
부채비율_ratio,0.11889629371841696,0.11889629371841696,1
영업현금흐름비율_diff,0.11399080966412513,0.11399080966412513,1
현금ROE,-0.11023172899879785,0.11023172899879785,1
현금ROE_ratio,-0.10562351030592092,0.10562351030592092,1
총자본영업이익률_ratio,-0.1033395216136445,0.1033395216136445,1
ROA_diff,0.10251711123633682,0.10251711123633682,1
총자산증가율_ratio,0.08886789922543696,0.08886789922543696,1
영업현금흐름비율,0.08155418639115046,0.08155418639115046,1
판관비율_ratio,0.07943087633566706,0.07943087633566706,1
EBITDA마진,-0.07267541549591071,0.07267541549591071,1
감가상각비율,0.06500392528465071,0.06500392528465071,1
순이익증가율,-0.057136763656388,0.057136763656388,1
투하자본회전율_diff,0.056018758491155556,0.056018758491155556,1
총자본영업이익률_diff,0.05217761414883436,0.05217761414883436,1
영업이익률_ratio,0.04714664887339754,0.04714664887339754,1
총자산증가율_diff_industry,-0.04513815559555728,0.04513815559555728,1
매출원가율_diff,0.044357557001169244,0.044357557001169244,1
유동비율변화_ratio,-0.042323140118036465,0.042323140118036465,1
총자산회전율,-0.04060721162960053,0.04060721162960053,1
영업이익률변화_diff,0.03997645868777628,0.03997645868777628,1
유동비율변화_diff,0.037334967725406634,0.037334967725406634,1
사내유보율_diff_industry,0.0369710947575347,0.0369710947575347,1
판관비율,0.03254337362954667,0.03254337362954667,1
부채비율변화,-0.03206851092200375,0.03206851092200375,1
업력_ratio,0.029833787876690155,0.029833787876690155,1
ROIC_ratio,-0.02945505685352492,0.02945505685352492,1
장기부채의존도_ratio,-0.02928776930939657,0.02928776930939657,1
유형자산증가율_ratio,0.026990072546890835,0.026990072546890835,1
현금ROA_ratio,0.02490053687108504,0.02490053687108504,1
자기자본증가율,-0.023131762902073458,0.023131762902073458,1
총부채비율,0.022280867866434077,0.022280867866434077,1
부채비율변화_diff,-0.021456496215282485,0.021456496215282485,1
순이익률_ratio,0.018471401535038918,0.018471401535038918,1
FCF_총자산,0.015655267837138612,0.015655267837138612,1
유동비율_diff,0.009570943702968493,0.009570943702968493,1
FCF증가율_diff,0.009073929555889355,0.009073929555889355,1
유형자산비율,-0.0052698358168199524,0.0052698358168199524,1
현금ROA,0.004852352091966741,0.004852352091966741,1
유형자산증가율,0.004355466968829933,0.004355466968829933,1
차입금의존도_ratio_industry,-0.0023120679530595403,0.0023120679530595403,1
FCF_총자산_ratio,0.002272691188886568,0.002272691188886568,1
유보율,4.95382118851474e-05,4.95382118851474e-05,1
업력,4.726259592158739e-05,4.726259592158739e-05,1
장기부채비율_ratio,-4.0121392420043954e-05,4.0121392420043954e-05,1
종업원,-2.4848399717525385e-06,2.4848399717525385e-06,1
매출총이익률,0.0,0.0,0
영업이익률,-0.0,0.0,0
순이익률,-0.0,0.0,0
차입금의존도,-0.0,0.0,0
장기부채의존도,0.0,0.0,0
부채비율,0.0,0.0,0
순차입금비율_diff,0.0,0.0,0
차입금의존도_ratio,0.0,0.0,0
차입금의존도_diff,-0.0,0.0,0
장기부채의존도_diff,0.0,0.0,0
총부채비율_ratio,0.0,0.0,0
장기부채비율_diff,0.0,0.0,0
부채비율_diff,0.0,0.0,0
총부채비율_diff,0.0,0.0,0
유동비율변화,0.0,0.0,0
매출원가율,0.0,0.0,0
비유동자산회전율,0.0,0.0,0
유형자산회전율,0.0,0.0,0
영업CF_총부채,0.0,0.0,0
영업CF_유동부채,-0.0,0.0,0
투하자본회전율,0.0,0.0,0
총자산증가율,-0.0,0.0,0
당좌비율_추정,0.0,0.0,0
유동비율,0.0,0.0,0
자본잠식률,0.0,0.0,0
자기자본비율,-0.0,0.0,0
순차입금비율,0.0,0.0,0
금융부채비율,-0.0,0.0,0
순운전자본비율,-0.0,0.0,0
현금비율,-0.0,0.0,0
