사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화
1018636260,동원팜스주식회사,2015,성숙기,0,31.34,2.2,0.0,44.48,4.09,27.77
1018636260,동원팜스주식회사,2016,성숙기,0,23.88,1.3,91.17,35.14,0.04,11.1
1018636260,동원팜스주식회사,2017,성숙기,0,68.41,0.0,90.21,44.46,0.25,22.53
1018636260,동원팜스주식회사,2018,도입기,0,0.0,77.9,90.9,60.13,14.83,38.53
1018636260,동원팜스주식회사,2019,쇠퇴기,1,13.14,100.0,94.17,23.81,39.81,43.34
1018666838,(주)삼양사,2015,성숙기,0,31.34,2.2,0.0,0.0,0.09,26.12
1018666838,(주)삼양사,2016,성숙기,0,23.88,1.3,91.17,5.36,0.01,14.83
1018666838,(주)삼양사,2017,성숙기,0,68.41,0.0,90.21,7.07,0.11,22.45
1018666838,(주)삼양사,2018,성숙기,0,0.0,0.0,90.9,14.49,0.04,27.6
1018666838,(주)삼양사,2019,성장기,0,13.14,12.2,94.17,14.46,0.03,23.35
1018666838,(주)삼양사,2020,성장기,0,100.0,11.8,98.27,66.48,0.03,28.0
1018666838,(주)삼양사,2021,성장기,0,55.99,12.7,98.54,77.77,0.64,22.78
1018666838,(주)삼양사,2022,성장기,0,6.9,16.5,99.12,54.2,0.06,26.38
1018666838,(주)삼양사,2023,성숙기,0,1.12,0.0,99.45,44.14,0.05,47.66
1018666838,(주)삼양사,2024,성숙기,0,12.77,0.0,100.0,51.33,0.02,45.34
1018687584,주식회사왓츠피데,2017,도입기,0,68.41,58.5,90.21,47.56,0.51,22.37
1018687584,주식회사왓츠피데,2018,도입기,0,0.0,77.9,90.9,57.63,8.13,33.34
1018687584,주식회사왓츠피데,2019,도입기,1,13.14,77.0,94.17,36.52,100.0,96.74
1018700153,순수본주식회사,2018,도입기,0,0.0,77.9,90.9,57.63,0.35,27.66
