column,coef,abs_coef,selected
금융비용부담률_ratio,0.19497582668148722,0.19497582668148722,1
매출원가율,0.1085215138830242,0.1085215138830242,1
총자본영업이익률,-0.10037834717732712,0.10037834717732712,1
비유동비율_diff,0.07686243551028861,0.07686243551028861,1
영업CF_총부채,-0.07248726837147956,0.07248726837147956,1
FCF_총자산,0.058535571208673254,0.058535571208673254,1
장기부채비율,0.05701979722557598,0.05701979722557598,1
차입금의존도_ratio,-0.05637775818971872,0.05637775818971872,1
ROE_ratio,0.05380143537035179,0.05380143537035179,1
영업CF_유동부채,-0.04420280539511229,0.04420280539511229,1
매출채권회수기간_diff,-0.04215107170782174,0.04215107170782174,1
현금ROE_ratio,-0.04191883626369334,0.04191883626369334,1
금융비용부담률,0.039578480022438106,0.039578480022438106,1
자기자본증가율_ratio,0.03851478239027831,0.03851478239027831,1
감가상각비율_diff,0.03606760412000041,0.03606760412000041,1
비유동장기적합률,0.03464380594943136,0.03464380594943136,1
차입금의존도_ratio_industry,-0.03432301081247152,0.03432301081247152,1
판관비율_diff,0.03400330964635929,0.03400330964635929,1
장기부채비율_ratio,0.03365322468165109,0.03365322468165109,1
총자산회전율_ratio_industry,-0.03245567023543834,0.03245567023543834,1
순운전자본비율,-0.030241736576178076,0.030241736576178076,1
매입채무지급기간_ratio,-0.029254129103465493,0.029254129103465493,1
총부채비율_diff,0.028250210259960554,0.028250210259960554,1
매출채권회전율_diff_industry,-0.025563786701434357,0.025563786701434357,1
매출채권회전율,-0.024786429912796663,0.024786429912796663,1
현금ROA_ratio,0.023243337599313588,0.023243337599313588,1
유형자산증가율_diff,0.020452635184291867,0.020452635184291867,1
영업이익률_ratio,0.02004417593554111,0.02004417593554111,1
자본잠식률,0.01978665119452971,0.01978665119452971,1
비유동비율,0.018828474276923378,0.018828474276923378,1
당좌비율_추정_diff,0.018161211570906517,0.018161211570906517,1
매출채권회수기간,-0.01420152385857788,0.01420152385857788,1
재고자산회전율_diff_industry,-0.011384799457758296,0.011384799457758296,1
EBITDA증가율_diff,0.01112134475898435,0.01112134475898435,1
자본잠식률_diff,0.010273030208707847,0.010273030208707847,1
비유동장기적합률_diff,0.0094713516548084,0.0094713516548084,1
총자산증가율_diff_industry,-0.008324599403937523,0.008324599403937523,1
FCF_총자산_diff,0.007146973766801032,0.007146973766801032,1
순이익증가율_diff,-0.005709067703206517,0.005709067703206517,1
ROE,0.004068586777966335,0.004068586777966335,1
장기부채의존도,-0.0037390913879219436,0.0037390913879219436,1
유형자산비율_ratio,0.0031517206301137444,0.0031517206301137444,1
ROA_ratio,0.002922246747828386,0.002922246747828386,1
영업CF_총부채_ratio,-0.0022917322484754996,0.0022917322484754996,1
매입채무회전율_ratio_industry,-0.0019012781043597595,0.0019012781043597595,1
재고자산보유기간_ratio,-0.0007716721780750697,0.0007716721780750697,1
매출액순이익률_ratio_industry,0.0004935837465373493,0.0004935837465373493,1
총자산증가율_ratio,0.00047613207731314725,0.00047613207731314725,1
현금전환주기_CCC_ratio,-0.0003470633369599144,0.0003470633369599144,1
감가상각비율,1.9065756012012377e-05,1.9065756012012377e-05,1
유형자산비율,0.0,0.0,0
ROA,0.0,0.0,0
ROIC,0.0,0.0,0
영업현금흐름비율,-0.0,0.0,0
현금ROA,0.0,0.0,0
영업이익률,-0.0,0.0,0
자기자본증가율,0.0,0.0,0
유형자산증가율,0.0,0.0,0
총자산증가율,-0.0,0.0,0
유형자산부채비율,0.0,0.0,0
당좌비율_추정,0.0,0.0,0
유동비율,0.0,0.0,0
현금비율,0.0,0.0,0
순운전자본회전율,-0.0,0.0,0
유보율,0.0,0.0,0
순차입금비율,0.0,0.0,0
총부채비율,0.0,0.0,0
부채비율,0.0,0.0,0
현금ROE,0.0,0.0,0
판관비율,0.0,0.0,0
총자산회전율,-0.0,0.0,0
순이익률,0.0,0.0,0
투하자본회전율,-0.0,0.0,0
자기자본회전율,-0.0,0.0,0
유형자산회전율,-0.0,0.0,0
비유동자산회전율,-0.0,0.0,0
유동자산회전율,0.0,0.0,0
매입채무회전율,-0.0,0.0,0
재고자산보유기간,-0.0,0.0,0
재고자산회전율,-0.0,0.0,0
현금전환주기_CCC,-0.0,0.0,0
매입채무지급기간,-0.0,0.0,0
영업이익증가율,0.0,0.0,0
매출총이익률,0.0,0.0,0
EBITDA마진,-0.0,0.0,0
금융부채비율,0.0,0.0,0
자기자본비율,0.0,0.0,0
차입금의존도,-0.0,0.0,0
금융비용부담률_diff,0.0,0.0,0
순운전자본회전율_ratio,-0.0,0.0,0
순운전자본회전율_diff,0.0,0.0,0
순운전자본비율_ratio,-0.0,0.0,0
순운전자본비율_diff,-0.0,0.0,0
현금비율_ratio,0.0,0.0,0
현금비율_diff,0.0,0.0,0
당좌비율_추정_ratio,0.0,0.0,0
유동비율_ratio,0.0,0.0,0
유동비율_diff,0.0,0.0,0
자본잠식률_ratio,0.0,0.0,0
유보율_ratio,-0.0,0.0,0
자기자본비율_ratio,0.0,0.0,0
유보율_diff,0.0,0.0,0
금융부채비율_ratio,-0.0,0.0,0
자기자본비율_diff,0.0,0.0,0
부채비율변화,-0.0,0.0,0
장기부채비율_diff,0.0,0.0,0
금융부채비율_diff,0.0,0.0,0
순차입금비율_ratio,-0.0,0.0,0
순차입금비율_diff,0.0,0.0,0
차입금의존도_diff,-0.0,0.0,0
장기부채의존도_ratio,-0.0,0.0,0
장기부채의존도_diff,-0.0,0.0,0
부채비율_diff,0.0,0.0,0
부채비율_ratio,0.0,0.0,0
총부채비율_ratio,0.0,0.0,0
순이익증가율,-0.0,0.0,0
EBITDA증가율,0.0,0.0,0
ROIC_ratio,0.0,0.0,0
총자본영업이익률_diff,-0.0,0.0,0
유형자산부채비율_diff,0.0,0.0,0
매출원가율_diff,0.0,0.0,0
현금ROE_diff,0.0,0.0,0
영업현금흐름비율_ratio,-0.0,0.0,0
현금ROA_diff,0.0,0.0,0
영업현금흐름비율_diff,-0.0,0.0,0
EBITDA마진_ratio,0.0,0.0,0
매출원가율_ratio,0.0,0.0,0
판관비율_ratio,0.0,0.0,0
유동자산회전율_ratio,0.0,0.0,0
비유동자산회전율_diff,0.0,0.0,0
비유동자산회전율_ratio,-0.0,0.0,0
유형자산회전율_diff,0.0,0.0,0
감가상각비율_ratio,0.0,0.0,0
총자산회전율_diff,-0.0,0.0,0
총자산회전율_ratio,-0.0,0.0,0
유동자산회전율_diff,0.0,0.0,0
투하자본회전율_diff,-0.0,0.0,0
자기자본회전율_ratio,-0.0,0.0,0
ROIC_diff,0.0,0.0,0
총자본영업이익률_ratio,0.0,0.0,0
영업이익률_diff,-0.0,0.0,0
순이익률_diff,-0.0,0.0,0
매출총이익률_ratio,0.0,0.0,0
매출총이익률_diff,0.0,0.0,0
EBITDA마진_diff,-0.0,0.0,0
순이익률_ratio,0.0,0.0,0
ROA_diff,0.0,0.0,0
유형자산부채비율_ratio,0.0,0.0,0
ROE_diff,0.0,0.0,0
유형자산비율_diff,0.0,0.0,0
비유동비율_ratio,0.0,0.0,0
비유동장기적합률_ratio,0.0,0.0,0
영업CF_총부채_diff,-0.0,0.0,0
영업CF_유동부채_ratio,-0.0,0.0,0
영업CF_유동부채_diff,-0.0,0.0,0
현금전환주기_CCC_diff,-0.0,0.0,0
매입채무지급기간_diff,-0.0,0.0,0
재고자산회전율_diff,-0.0,0.0,0
재고자산회전율_ratio,-0.0,0.0,0
재고자산보유기간_diff,-0.0,0.0,0
매출채권회전율_ratio,0.0,0.0,0
매출채권회전율_diff,-0.0,0.0,0
투하자본회전율_ratio,-0.0,0.0,0
매출채권회수기간_ratio,-0.0,0.0,0
유형자산회전율_ratio,-0.0,0.0,0
자기자본회전율_diff,-0.0,0.0,0
총자산증가율_diff,-0.0,0.0,0
유형자산증가율_ratio,-0.0,0.0,0
EBIT대매출액_ratio_industry,-0.0,0.0,0
EBITDA대매출액_diff_industry,-0.0,0.0,0
매출원가대매출액_diff_industry,0.0,0.0,0
EBITDA대매출액_ratio_industry,-0.0,0.0,0
매출원가대매출액_ratio_industry,0.0,0.0,0
매출액순이익률_diff_industry,0.0,0.0,0
사내유보율_diff_industry,0.0,0.0,0
사내유보율_ratio_industry,0.0,0.0,0
금융비용대매출액_diff_industry,0.0,0.0,0
금융비용대매출액_ratio_industry,0.0,0.0,0
자기자본증가율_diff,0.0,0.0,0
부채비율변화_diff,-0.0,0.0,0
매출액영업이익률_diff_industry,-0.0,0.0,0
매출액영업이익률_ratio_industry,-0.0,0.0,0
EBIT대매출액_diff_industry,-0.0,0.0,0
영업이익증가율_diff,0.0,0.0,0
유동비율_ratio_industry,0.0,0.0,0
유동비율_diff_industry,0.0,0.0,0
부채비율_ratio_industry,0.0,0.0,0
부채비율_diff_industry,0.0,0.0,0
자기자본비율_ratio_industry,0.0,0.0,0
자기자본비율_diff_industry,0.0,0.0,0
당좌비율_diff_industry,0.0,0.0,0
당좌비율_ratio_industry,0.0,0.0,0
비유동비율_ratio_industry,0.0,0.0,0
비유동비율_diff_industry,0.0,0.0,0
비유동장기적합률_ratio_industry,0.0,0.0,0
비유동장기적합률_diff_industry,0.0,0.0,0
순운전자본대총자본_diff_industry,-0.0,0.0,0
순운전자본대총자본_ratio_industry,-0.0,0.0,0
현금비율_diff_industry,0.0,0.0,0
현금비율_ratio_industry,0.0,0.0,0
자기자본회전율_ratio_industry,-0.0,0.0,0
자기자본회전율_diff_industry,-0.0,0.0,0
총자산회전율_diff_industry,-0.0,0.0,0
차입금의존도_diff_industry,-0.0,0.0,0
유형자산회전율_ratio_industry,-0.0,0.0,0
유형자산회전율_diff_industry,-0.0,0.0,0
비유동자산회전율_diff_industry,-0.0,0.0,0
비유동자산회전율_ratio_industry,-0.0,0.0,0
매출채권회전율_ratio_industry,-0.0,0.0,0
재고자산회전율_ratio_industry,-0.0,0.0,0
매입채무회전율_diff_industry,-0.0,0.0,0
총자산증가율_ratio_industry,-0.0,0.0,0
유형자산증가율_diff_industry,0.0,0.0,0
유형자산증가율_ratio_industry,0.0,0.0,0
자기자본증가율_diff_industry,0.0,0.0,0
자기자본증가율_ratio_industry,0.0,0.0,0
